text,timestamp,like_count,trueSentiment
happy mother day mom thank best mom grandmother taught concept giving titas constantly reminding keep faith lord madam leni robredo giving much hope better tomorrow,2022-05-07 23:59:59,1,pos
im cry vp leni win,2022-05-07 23:59:50,10,neut
thank rajiv,2022-05-07 23:59:39,0,neut
rooting silent majority need leni,2022-05-07 23:59:34,0,neut
havent even vp lenis rally feel allowed,2022-05-07 23:59:34,2,neut
leni love point gotta call cop bruv,2022-05-07 23:59:34,0,neut
abah mana sa idol strength right there election yet win dont use coke often thats stupid loser babym hit even though count 3 time still lose,2022-05-07 23:59:33,1,neg
shes exhausted tired due heat tarpaulin covering half body one reason supporter reason leni would fail,2022-05-07 23:59:22,0,neg
im one supporting leni house imagine hear everyday,2022-05-07 23:59:21,0,neut
unithieves seems tendency pay lenikiko participate voluntarily may believe paid concept volunteerism paid artist already outdated hahaha squammy,2022-05-07 23:59:21,1,neut
leni kiko win motto respect opinion popular side candidate become invoke right self incrimination clean government,2022-05-07 23:59:11,2,neut
bkt join c leni smni debate hope face c bbm prof carlos n smart,2022-05-07 23:59:11,0,neut
lord please guide everyone monday may goodness win let leni kiko win,2022-05-07 23:59:06,8,pos
1st break leni,2022-05-07 23:58:58,0,neut
cousin lss already rose let go pls,2022-05-07 23:58:55,1,neut
drug user leni,2022-05-07 23:58:55,0,neut
dear filipino even michael jordan scottie pippen needed elite supporting cast let forget vote lenikikos supporting cast senatorial slate,2022-05-07 23:58:42,0,neut
history making 1m supporter vp leni meeting de avance makati,2022-05-07 23:58:27,0,neut
thought iskonians campaign cool said theyre moving end still hit vp leni even though shes paying attention maybe he hotheaded he ignored,2022-05-07 23:58:26,8,neut
ive readheard many speech ive written say vp lenis speech makati mda definitely one best speech ever writtenand delivered,2022-05-07 23:58:22,2,pos
today watch,2022-05-07 23:58:14,0,neut
medic leni,2022-05-07 23:58:12,0,neut
anxiety week election retdem week even fail retdem ok long pres leni robredo vp kiko pangilinan im ok,2022-05-07 23:58:07,6,neut
im nervous tomorrow election high hope leni win president kiko vicepresident,2022-05-07 23:58:03,0,neut
say hakot one paid hahaha made volunteer leni camp,2022-05-07 23:58:02,1,neut
replied pork samgy grad pic vp leni hahahahaha,2022-05-07 23:58:02,0,neut
disrespectful supreme court decided case favor leni dont believe highest court land believe face book tik tok read get healed shame read may god bless,2022-05-07 23:57:59,1,neg
never heard prrd say leni stronger possible,2022-05-07 23:57:56,0,neut
throw drinking leni okay byee,2022-05-07 23:57:56,1,neut
yikes,2022-05-07 23:57:55,1,neg
youre cute dont miss leni also steal stupid junkshop public teacher,2022-05-07 23:57:49,0,neut
last night drink discussed lenis platform told vote leni long vote diokno ta colmenares senator,2022-05-07 23:57:49,1,neut
nope see post btc call week munger,2022-05-07 23:57:45,0,neut
back hurt leni,2022-05-07 23:57:33,0,neg
least may 9 vp leni spend time girl daughter,2022-05-07 23:57:27,8,neut
preelection anxiety vp leni dont worry make win,2022-05-07 23:57:21,10,neut
bbm youre pretending youre still bbm youre still,2022-05-07 23:57:05,0,neut
bbmsara lenikiko wont win friend right lavern philippine,2022-05-07 23:57:05,1,neg
happy mother day mama leni,2022-05-07 23:57:05,0,pos
dont understand pulling number 2 leni candidate order win defeat number 1 bbm arent surprised said different heh he really different everyone else stupid,2022-05-07 23:57:00,31,neg
280k barako leni kiko batangas grand rally rally lipa isko proclamation rally local candidate,2022-05-07 23:56:52,0,neut
look like press fresh vp lenis campaign trail one seems like enough cover camera throw away oh wait actually happened,2022-05-07 23:56:52,0,neut
supporter dont waste vote instead give vote vp leni robredo kiko pangilinan,2022-05-07 23:56:46,2,neut
daddy lenikiko,2022-05-07 23:56:33,2,neut
pre den te leni robredo,2022-05-07 23:56:33,0,neut
good morning thirsty good governance lenikiko,2022-05-07 23:56:26,1,pos
dont waste leni robredo losing loss loss one like,2022-05-07 23:56:26,0,neg
cry leni kiko,2022-05-07 23:56:22,0,neut
atheist prayed lenikiko,2022-05-07 23:56:20,3,neut
said included masterlist leni tarp seen front house person brgy went around dont pay,2022-05-07 23:56:14,0,neut
shes favor environmental protection since want take care homeclean renewable energy,2022-05-07 23:56:00,0,pos
close stage stumbled upon paseo center led screen working leni kiko,2022-05-07 23:55:58,0,neut
dont understand office mate capacity choose chel robin still choose blengbong leni,2022-05-07 23:55:46,1,neg
greeting compatriot return home province vote vp leni thank sacrifice dedication people,2022-05-07 23:55:24,0,pos
cry lenikiko,2022-05-07 23:55:22,0,neut
didnt show drug test result leni dba,2022-05-07 23:55:18,0,neg
asala sambandam leni dantlo velupetti without thinking consequence ala matladtam chala tappu oka star hero poster medha gave biggest blockbuster back back movie moment started disliking ah vishyam tho polste migatha valavi chinnave,2022-05-07 23:55:11,0,neut
vico smart joy belmonte feel leni vp lose,2022-05-07 23:55:11,1,neut
people edsa side pioneer delivered shaw side leni,2022-05-07 23:55:03,2,neut
happy mother day mom aunt nora mom leni,2022-05-07 23:54:57,0,pos
happy mother day mom sister mommy friend wish leni robredo kiko pangilinan vico sotto win,2022-05-07 23:54:52,1,pos
go vote leni dont rude yet,2022-05-07 23:54:50,0,neut
vp leni pls win 10,2022-05-07 23:54:49,0,neut
voice today yesterday shouting leni,2022-05-07 23:54:49,7,neut
youre going squirm vp lenis focus bottom look personal life compared compare house hope win thats dont place atty lopez replace slowly,2022-05-07 23:54:42,0,neut
super smart babbling hahshshahahahahaha said even win streak ph sa miss u broken long vp leni win,2022-05-07 23:54:42,2,pos
happy mother day mom lodi vote leni labyu,2022-05-07 23:54:41,0,pos
im happy found another ally family lola leni,2022-05-07 23:54:39,2,pos
sai da conta andre vei,2022-05-07 23:54:37,0,neut
omg embarrassing,2022-05-07 23:54:34,1,neg
manifesting leni win,2022-05-07 23:54:34,20,neut
leni represents good governance,2022-05-07 23:54:32,0,pos
didnt watch leni reifenstahls film either,2022-05-07 23:54:28,0,neg
leni neighbor huhu,2022-05-07 23:54:23,0,neut
dont script discus lenis platform want like back manufacturing unemployment benefit choose want im stupid like everything thief liar brain absorb information,2022-05-07 23:54:23,0,neg
grandmother still fought solid bbm hahahaha get leni,2022-05-07 23:54:23,0,pos
leni kiko really evil,2022-05-07 23:54:22,0,neg
ok leni neighbor,2022-05-07 23:54:19,1,neut
j mostrei deimais meu rosto na redes sociais agora chega,2022-05-07 23:54:15,0,neut
sitting vice president fine record public service taint corruption paper leni robredo dream candidate word bbc news,2022-05-07 23:54:09,0,neut
didnt leni go davao know one come rally inday sara mayor davao,2022-05-07 23:54:07,2,neut
huhu heart lenis favorite cousin husband well tito yes congratulated haha one older cousin close bbm huhu ga leni lutang2 siya poga disappointed surprised im trying convert another cousin mine,2022-05-07 23:54:06,1,neut
lot impression,2022-05-07 23:54:03,0,neut
stop crack useless vp leni elistist watch learn,2022-05-07 23:53:54,55,neg
edi sanaol went lenis makati rally ampotchi ang lapi lapi lng nmn bat didnt allow,2022-05-07 23:53:50,0,neut
going church leni yiiee,2022-05-07 23:53:47,0,neut
turned 1 million reached last night im proud say one stood ground vp lenis meeting de avance,2022-05-07 23:53:43,0,pos
leni win,2022-05-07 23:53:42,1,neut
said didnt become aware sin close eye bbm know belief religion cyst basis people country wake dont know like love want open eye jeng know leni,2022-05-07 23:53:40,2,neut
lol lack understanding tired speaking leni since presscon let leni withdraw said blaming others action ahaay,2022-05-07 23:53:34,7,neg
putanginang hard people novaliches kyusi yesterday bus lenikiko going rally good find way still arrived,2022-05-07 23:53:24,8,pos
scared len hype mom think differently leni,2022-05-07 23:53:20,0,neut
lenis house simple expensive village cheapest property compared presidentiables donated marawi money given election protest rather saving made think open mouth,2022-05-07 23:53:19,131,neut
cry leni,2022-05-07 23:53:17,1,neut
itna protest ki jagah kuxh study kr leni thi,2022-05-07 23:53:03,0,neut
yes leni rag,2022-05-07 23:53:03,3,neut
good luck vp leni,2022-05-07 23:52:56,3,pos
worked know broken fixed,2022-05-07 23:52:27,0,neut
,2022-05-07 23:52:24,1,neut
see ayala mall manila bay full bbmies leni still wearing yellow mask white polo shirt,2022-05-07 23:52:20,0,neut
hahahahahahahaha lenis volunteer say bbm hauling laugh work,2022-05-07 23:52:19,0,neut
happy friend dota2 voted vp leni,2022-05-07 23:52:15,0,pos
goosebump,2022-05-07 23:52:07,0,neut
ready attack vp leni bitter,2022-05-07 23:52:03,6,neut
im already mentally stable didnt cry almost 10 month watched meeting de avance literally cried idk feel really need vp leni scared ever vp leni doesnt win hopefully cant,2022-05-07 23:51:54,0,neut
thanks dignity stand one lenikiko win,2022-05-07 23:51:53,0,pos
aa m mau wrob endorsed vp leni,2022-05-07 23:51:51,0,neut
wont feel leni said read scripted heart,2022-05-07 23:51:47,0,neut
claiming nman eh na tarlac leni jusko gurl wake upyou loser hahahaha len len loser,2022-05-07 23:51:23,0,neg
uncle went ping isko leni yaass,2022-05-07 23:51:22,2,neut
notice lot people breaking law election season yet one worship madumb cant even called expecting chaotic philippine leni win bcos sure rule,2022-05-07 23:51:22,4,neg
way aroundleni upset bebem stronghold,2022-05-07 23:51:18,1,neut
ill breakdown long vp leni defeated,2022-05-07 23:51:16,1,neut
good morning namam taxi driver dd ar marcos apologist hahahaha said philippine going crazy leni many supporter say aquino hahaha,2022-05-07 23:51:05,0,pos
didnt go authority medium investigated hey politician matter give money dont tell c leni pacquiao isko etc dont give story thats dont clean oh,2022-05-07 23:51:04,0,neg
mannygt,Leni fax,2022-05-07 23:51:01,neut
woke cry dream screaming lenikiko election scary,2022-05-07 23:50:56,1,neg
update sir invented,2022-05-07 23:50:47,1,neut
think gray outline good well darker color,2022-05-07 23:50:44,0,pos
exit poll conducted msms try establish winning trend leni let u vigilant,2022-05-07 23:50:30,0,neut
kpop stan miss era filo kpop stans always arguing first time history united show filipino leni robredo deserves born philippine,2022-05-07 23:50:26,4,neut
cried early morning haha election anxiety real im feeling hopeful leni leader deserve aspire really hope filipino let miss,2022-05-07 23:50:19,0,pos
among lenis child tried snatch valedictorian real valedictorian,2022-05-07 23:50:10,0,neut
died president leni would new president shes vp country wah gago great super iconic pala non ever happened like woman lead country,2022-05-07 23:50:09,0,pos
ta gagi confessed privileged enough register vote first time registered leni generation candidate didnt want waste right vote,2022-05-07 23:50:03,1,neut
leni win study promise hahahaha,2022-05-07 23:50:00,10,pos
god bless mom three daughter godbless filipino people thirst good governance godbless philippine rightful leader lord jesus pray bless leni robredo kiko pangilinan next president vice president,2022-05-07 23:49:59,0,pos
theyre really amazing longer involved hahahaha percentage leni kiko win really place pllss lord mayta indeed,2022-05-07 23:49:58,1,pos
see leader like vp leni robredo let waste together opportunity raise country people,2022-05-07 23:49:55,1,neut
fire face lenikiko,2022-05-07 23:49:45,0,neut
hahahah know lenis supporter ruining image also way act way lied obvious vote choice dont dictate others,2022-05-07 23:49:30,0,neg
im really happy didnt force came final decision pink tt ping isko leni ping isko really end game leni even month may,2022-05-07 23:49:28,0,pos
hahahahaha funny post something antileni call tag respect opinion pls respect dafuq thats vote cocaine addict hahahahaha,2022-05-07 23:49:22,18,neut
turn maam leni character speech candidate last night said last day campaign last whistle destruction hey,2022-05-07 23:49:18,2,neut
let leni lead vote president second choice lacson,2022-05-07 23:49:14,0,neut
pabigat na pisan calling leni porridge bb didnt even graduate high school lazy lazy study,2022-05-07 23:49:11,2,neg
hahahahaha mother leni great artist,2022-05-07 23:49:06,1,pos
leni win ttbe,2022-05-07 23:49:04,10,neut
happy mother day mama leni miss campaign love u,2022-05-07 23:49:02,0,pos
thick face use duterte surname shout leni kiko,2022-05-07 23:48:59,0,neut
artist attended vp leni last night star struck miss u catriona gray anne curtis beautiful,2022-05-07 23:48:56,11,pos
,2022-05-07 23:48:52,0,neut
isko right leni bbm involved life poor let vote isko red pink,2022-05-07 23:48:52,6,neut
really vocal person election support vote forbut im proud say leni,2022-05-07 23:48:19,1,pos
bike hurry home eheheh bike still holding leni light ehehehe,2022-05-07 23:48:12,1,pos
ketamine addict leni kiko,2022-05-07 23:48:09,1,neut
leni may 9th tired abunado volunteer,2022-05-07 23:48:08,1,neut
manny held rally tacloban lenis single poster rtr plaza removed held rally removed thats youre outdone rag,2022-05-07 23:48:07,236,neg
good morning guy attended president lenis advance meeting last night hope safe go home,2022-05-07 23:47:59,0,pos
posted fb l rally laguna picture sen kiko vp leni going post case embarrassed dont permission even posted cousin fb account,2022-05-07 23:47:56,0,neg
luh recounted three time leni gotten better lol mind conditioning,2022-05-07 23:47:54,1,pos
happy mother day vp leni,2022-05-07 23:47:47,0,pos
good morning kakampinksguys dont cry morning guysbut okwe know win thissee u 9 kakampinksgod blessmadam sir kikofrm angeles city,2022-05-07 23:47:45,0,pos
papa mama telling story passing neighbor madam leni voted lt,3 :((,2022-05-07 23:47:44,neut
luhh take mom boplaks think leni engkantada world magic jusq think like,2022-05-07 23:47:40,0,neut
campaign period end want express utmost gratitude respect volunteer rpc especially youth leni nueva vizcaya awesome although participate h2h campaign proud stand,2022-05-07 23:47:31,2,pos
way leni economy leni grow pinas going lose dhl alm nya pgcompute 4 x 40 1600 want fight president take revenge marcosso bother serve4 x 40 1600 4 x 40 1600 4 x 40 1600,2022-05-07 23:47:29,0,neut
tore duterte streamer someone put using wall back 2016 haha time im proud say dont neighborhood fake news town leni dominates,2022-05-07 23:47:28,3,neut
happy mother day tomorrow let win madam leni robredo,2022-05-07 23:47:23,36,pos
elevator going unit met 2 chilltop boy bbm girl even vp leni doesnt run wont vote even dont vote he one even sister drunk know vote,2022-05-07 23:47:17,1,neut
iskos one vlogger right 8 month enough negate issue thrown vp leni dd bbm vloggers good demolition job leni sad,2022-05-07 23:47:17,1,neut
come sleep wake cry heyy everyone uniting lenikiko,2022-05-07 23:47:15,1,neut
cried lenikiko,2022-05-07 23:47:11,1,neut
papped placard kong haggard leni pasend sakjn hsjahshshshahah,2022-05-07 23:47:08,0,neut
jillrobredo,2022-05-07 23:47:07,0,neut
come family maam leni hmm,2022-05-07 23:47:04,0,neut
anxiety given election 2022 severe like thank vp leni waking filipino let fight filipino philippine,2022-05-07 23:47:03,4,neut
story tell since first time voted 1992 never anything like movement support people initiative camaraderie time came stood vp leniand good thing family stood,2022-05-07 23:46:59,949,pos
happy mother day leni robredo,2022-05-07 23:46:59,0,pos
blengblong supporter one say young people others voter say lenis supporter come back defeated say young people,2022-05-07 23:46:57,1,neut
super excited vote tomorrow proud say first vote leni kiko future female im claiming tip first time voter god bless philippine,2022-05-07 23:46:57,3,pos
yesterday left wallet cashier saying word brother ill leave case think going lenikiko,2022-05-07 23:46:39,0,neut
im literally cry right nowlenikiko win,2022-05-07 23:46:39,4,neut
dad vote leni want vote bbm say vote leni embarrassing huhuhu heart happy leni promised vote,2022-05-07 23:46:32,5,neut
meeting de avance topic leni mayor trying hard relevant super turn,2022-05-07 23:46:30,1,neut
spot mam leni really really,2022-05-07 23:46:23,0,neut
think leni hard time writing concession speech,2022-05-07 23:46:17,0,neut
said leni bobo leni lutang ok lol happy mother day,2022-05-07 23:46:10,0,pos
priest church earlier straight told ppl vote leni started homily dont vote thief gagee yan fatherr love naa respect bravery,2022-05-07 23:46:09,3,neut
funny changed dp lenikiko last wed clan started change dp well 88m lmao,2022-05-07 23:46:00,0,neut
leni robredo 17th president philippine cutie,2022-05-07 23:45:51,1,pos
unfavorite child leni,2022-05-07 23:45:41,6,neut
come papa im going go mom fun hahahh,2022-05-07 23:45:38,0,pos
yall like respect po yall cant accept theyre voting leni instead theyre voting president rest bullying mocking saying insensitive thing happened,2022-05-07 23:45:37,0,neg
gma news parent company pro leni kiko,2022-05-07 23:45:35,0,neut
know vp leni sen kiko win volunteerism see rally today even worse see leadership lot support people carried hope fear,2022-05-07 23:45:35,5,neg
lack sleep lenikiko,2022-05-07 23:45:34,1,neut
seeing tweet lenis mda today terrible lord please let lenikiko,2022-05-07 23:45:31,2,neg
correct found apply self madam leni,2022-05-07 23:45:30,0,neut
im sad heart havent seen vp leni anymore didnt come stage donbelle even though program hmp,2022-05-07 23:45:27,0,neg
lord pls dont want leni best president never pt 2 country hope,2022-05-07 23:45:04,4,neg
leni still want put modernization transportation hold done time think,2022-05-07 23:45:04,0,neut
bbm leni pink red green wrong thought patient health welcome infection sepsis,2022-05-07 23:44:53,0,neg
everyone back home sleep leni haha,2022-05-07 23:44:51,3,neut
walked leni u,2022-05-07 23:44:51,0,neut
love president leni first time entire life concerned election whole people hoping right leader country,2022-05-07 23:44:48,1,pos
dont leni huhuhuhu,2022-05-07 23:44:41,1,neut
happy mother day mom dad sister brother aunt uncle grandma grandpa madam leni,2022-05-07 23:44:39,0,pos
oh cge dont want cry many leni 50 registered meanwhile kay bbm solid voter 90,2022-05-07 23:44:39,0,neut
sayoha pa buntag oy papa seg patukar leni,2022-05-07 23:44:13,0,neut
thats true shown iskotertes event iskoterte nothing throw vp leni fight red yellow,2022-05-07 23:44:00,6,neut
blind boy posted fb supporter bbm cant repeat girl said girl mother saw able speak one child committed suicide teacher leni supporter null justice,2022-05-07 23:43:56,1,neg
family talk leni supporter family brother said college taught u marcos bad least really sin college teach u truth,2022-05-07 23:43:47,2,neg
someone fixture last night area leni kiko tarp almost every post still accross road others quiet leni kiko also knocked gate door,2022-05-07 23:43:46,223,neut
nice ride free think leni win mrt go back normal,2022-05-07 23:43:32,1,pos
solid bbm officemate said voter go lenis rally know almost half registered voter today young people energy rally brought may 9,2022-05-07 23:43:28,8,neut
also want post raised strong woman like leni since mother day today mother bbm,2022-05-07 23:43:26,1,neut
happy birthday sir thanks helping vp leni,2022-05-07 23:43:23,0,pos
leni loses would hated ping isko,2022-05-07 23:43:20,0,neg
wow maam leni marcos jr thats good man,2022-05-07 23:43:12,6,pos
confirms suspected along maybe ran reduce lenis vote bec wasnt criticizing supposed frontrunner doesnt make sense,2022-05-07 23:43:11,72,neg
everybody know created acct support lenikiko since could support using real acct national government employee honor fight,2022-05-07 23:43:11,64,neut
ran away caught parent leni lt,3,2022-05-07 23:43:09,neut
saw video tiktok duterte endorsed leni speech,2022-05-07 23:43:03,0,neut
got stuck makati last night fine leni,2022-05-07 23:42:57,1,neut
im ready castigate administration soon pres leni soon vp kiko,2022-05-07 23:42:57,0,neut
vote correctly invalidated look happened recounted vp lenis vote 2016 vote longer counted thats 16k careful careful vote counted,2022-05-07 23:42:53,4,neut
haul pay one installed wrong president happens hey poor philippine please let leni kiko,2022-05-07 23:42:48,0,neg
video lenikikos makati meeting de avance giving goosebump,2022-05-07 23:42:41,0,neut
leni win,2022-05-07 23:42:32,0,neut
thank much,2022-05-07 23:42:31,0,pos
leni win really cry bbm tangina moo,2022-05-07 23:42:27,0,neut
cried lot last night especially vp leni thanked everyone h2h,2022-05-07 23:42:11,1,pos
let go leni,2022-05-07 23:42:04,0,neut
got home good morning everyone proud self happy part 9500 people last night last campaign rally mami leni much fun philippine let vote wisely,2022-05-07 23:41:58,2,pos
even dont sleep leni win,2022-05-07 23:41:55,4,neut
strength bbm provoke leni isko comment post wife get upset delete post engaging discussion candidate fight last time told he full clout,2022-05-07 23:41:54,14,neg
potangina lenikiko cry 6 year,2022-05-07 23:41:50,0,neut
mom loren legarda challenge mommy issue madam leni,2022-05-07 23:41:48,1,neut
yes hubaderos leni,2022-05-07 23:41:47,0,neut
good morning ulet leni kiko,2022-05-07 23:41:46,1,neut
president leni amp, vice president kiko 🌷 i-claim na natin 'yan,2022-05-07 23:41:44,neut
dont waive im sure company leni,2022-05-07 23:41:41,187,neut
let reverse im reverse used like leni 2016 hate bbm really dont like marcos either today case im anyone leni hate leni bbm anyway respect choice hope respect mine reason,2022-05-07 23:41:30,0,neg
uncle q bbm even 9yrs old cousin really teased leni porridge bc favor madam funny kid still brain compared forty still swallow,2022-05-07 23:41:25,0,neut
good morning grab driver said leni tayo maam leni tayo saw tarp gate,2022-05-07 23:41:17,7,neut
difference duterte wasnt target massive disinformation could people searching lenis edited misleading video hope wrong,2022-05-07 23:41:12,177,neg
among appointed official responsible tomorrow big event duterte even related marcos dont believe prrd really gonna ensure clean fair election never trust word he always lying hope time real,2022-05-07 23:41:08,1,neg
im little worried might happen tomorrow comelec failing gain trust time imagine vehicle use deliver material election tomorrow uniteam tarp worrying add,2022-05-07 23:41:07,1,neg
ahh hoping leni win huhu,2022-05-07 23:40:59,0,pos
relax leni win please hug friend let realize made best choice country,2022-05-07 23:40:56,0,pos
haha mama leni contagious,2022-05-07 23:40:55,0,neut
dont vote leni pay attention fake,2022-05-07 23:40:50,1,neg
dad cute he super excited lenis victory party asked take leave advance go together please philippine wise,2022-05-07 23:40:41,12,pos
leni even compared zelensky guy really laughing,2022-05-07 23:40:35,0,neut
happy mother day single mom like mama vp leni sen risa salute,2022-05-07 23:40:23,5,pos
hey found vp leni phone hide,2022-05-07 23:40:22,0,neut
like believed lenikiko tandem love philippine need reclaim country need leader truly trust im proud even though im simple citizen part continue support complete 6 year,2022-05-07 23:40:16,88,pos
desired order government peaceful future let go lenikiko tomorrow,2022-05-07 23:40:06,0,neut
cry early morning seeing highlight vp lenis campaign,2022-05-07 23:40:04,3,neut
lenikikos mda yesterday mostly twitter open noticed,2022-05-07 23:39:55,0,neut
noisy leni,2022-05-07 23:39:53,2,neut
people madam leni sir kiko trust,2022-05-07 23:39:41,1,neut
good morning whats official count bbm leni isko rally,2022-05-07 23:39:37,0,neut
according sister solid dutertard lbm supporter hate leni white dog say better chinese dog least asian many asian country dont know china still hate cppnpa model country chinese communist party brain,2022-05-07 23:39:31,0,neg
busy shift earlier omg great watching clip series video lenikiko wow lord hope pink troop win monday,2022-05-07 23:39:27,4,pos
woman wont leni sit seat malacaang slay madam,2022-05-07 23:39:25,0,neut
good news neighbor solid 88m said accepted 500 candidate course vote female gov including leni sharing fb work,2022-05-07 23:39:22,0,pos
hatred bullying mockery lenis classmate despair knowing bbm next president slowly killing,2022-05-07 23:39:08,2,neg
thank anne curtis showing full support vp leni amp, sen kiko meeting de avance. Gobyernong tapat angat buhay Lahat. Ipanalona10to🙏🌸♥️🇵🇭,2022-05-07 23:38:57,pos
one every rally one heard every promise platform project hope one convinced service offered lenikiko tandem real cant even announce publicly hope vote look,2022-05-07 23:38:54,4,neut
take care vote leni sure confirmed cheater toxic people supporter im sure survey fake 58 marcos jr real survey leni robredo counted ofw kakampink joining around world,2022-05-07 23:38:53,0,neg
