text,trueSentiment,vaderPrediction,nbPrediction,svmPrediction,lrPrediction
ive readheard many speech ive written say vp lenis speech makati mda definitely one best speech ever writtenand delivered,pos,pos,neut,neut,neut
loner lenikiko,neut,neg,neut,neut,neut
proud mama leni even international news praised transparency hardworking,pos,pos,pos,pos,pos
sleepless leni kiko,neut,neut,neut,neut,neut
1m camanava leni campaign,neut,neut,neut,neut,neut
pink concealer leni establishing brand still lp aquino era he one loading party people basis voting aquinos wife achievement hard work,neut,pos,neut,neut,neut
disrespectful supreme court decided case favor leni dont believe highest court land believe face book tik tok read get healed shame read may god bless,neg,pos,neut,neut,neut
makati mayor better leni,neut,pos,neut,neut,neut
cried lenikiko,neut,neg,neut,neut,neut
vp leni please win,neut,pos,neut,neut,neut
fr fiel pareja catholic ask priest catholic church dabbling politics enough priest support leni robredo kiko pangilinan shouldnt saying mass church,neut,pos,neut,neut,neut
filipino pres leni victory,neut,neut,neut,neut,neut
tore duterte streamer someone put using wall back 2016 haha time im proud say dont neighborhood fake news town leni dominates,neut,pos,neg,neg,neut
grandma bbm supporter dude hate kakampink people apos leni supporter gagk,neg,neg,neg,neut,neut
let respect tonis decision respect kind criticism doesnt help vp leni,neg,pos,neut,neut,neut
pulse asia 58 bbm must reduced true thief robredo said true liar cheated election must 4th final time quit marcos win leni robredo thief,neg,neg,neg,neut,neut
,neut,neut,neut,neut,neut
day election received confirmation sister hell voting leni even though sara vp late reach friend family today,neut,neg,pos,neut,neut
leni lost,neut,neg,neut,neut,neut
even mainstream medium news watch effect e maybe change style apple photo ops destructive others might like 2016 also bet,neut,neg,neg,neut,neut
hard work done done successful soon vp leni residing new office 6 yr,pos,pos,neut,neut,neut
kd kinda reminds vp leni always number 2 giaaniiss antetokouunmpoo,neut,pos,neut,neut,neut
wishing happy mother day insult maam leni good mother pure mother wish coconut eneweys happy mudrakels dei,pos,pos,pos,pos,pos
bbm relative saw public post supporting vp leni pming one one oh naurr,neut,pos,neut,neut,neut
good morning people awake leni,pos,pos,pos,pos,pos
according sister solid dutertard lbm supporter hate leni white dog say better chinese dog least asian many asian country dont know china still hate cppnpa model country chinese communist party brain,neg,neut,neut,neut,neut
walked leni u,neut,neut,neut,neut,neut
realized attending vp lenis meeting de avance bragging true giving food vibing people medic response etc,neut,pos,neut,neut,neut
bbm saman came lot people attended watched support leni also based saw child wait there almost young people 1017 want vote bbm mostly adult especially senior,neut,pos,neut,neut,neut
pabigat na pisan calling leni porridge bb didnt even graduate high school lazy lazy study,neg,neg,neut,neut,neut
whose survey survey expect result right leni going thats survey used false asia hahaha,neut,pos,neut,neut,neut
leni kiko forever,neut,neut,neut,neut,neut
dear filipino even michael jordan scottie pippen needed elite supporting cast let forget vote lenikikos supporting cast senatorial slate,neut,pos,neut,neut,neut
posted fb l rally laguna picture sen kiko vp leni going post case embarrassed dont permission even posted cousin fb account,neg,neg,neut,neut,neut
im also cry troll fighting pink one bashing vp leni dont even get look u look made plus im cry im one family stood vp said stand someone stand next,neg,neg,neut,neut,neut
preelection anxiety vp leni dont worry make win,neut,neg,neut,neut,neut
putanginang hard people novaliches kyusi yesterday bus lenikiko going rally good find way still arrived,pos,pos,neut,pos,neut
vote leni kiko,neut,neut,neut,neut,neut
heyy fine ill try,pos,neg,neut,neut,neut
true leader liar mike enriquezs interview said wont run president he ambitious president even doesnt capacity,neg,pos,neg,neut,neut
oh cge dont want cry many leni 50 registered meanwhile kay bbm solid voter 90,neut,pos,neut,neut,neut
cry lenikiko,neut,neg,neut,neut,neut
poisoned duty leni,neut,neg,neut,neut,neut
leni anyway,neut,neut,neut,neut,neut
art leni win art blend mahb win,neut,pos,neut,neut,neut
itna protest ki jagah kuxh study kr leni thi,neut,neg,neut,neut,neut
bbm youre pretending youre still bbm youre still,neut,pos,neut,neut,neut
shes exhausted tired due heat tarpaulin covering half body one reason supporter reason leni would fail,neg,neg,neg,neut,neut
painful attend bbms rally ulterior motif leni robredo vote joke,neg,neg,neut,neut,neut
cant wait see name madam president mr leni robredo listen sona madam root love win lose,pos,pos,neut,neut,neut
knew start could never convince parent vote leni theyve always lowkey misogynistic least ive convinced vote candidate,neg,pos,neut,neut,neut
one hour sleep think happen monday im losing hope lenikiko win yes made decision hahaha,neut,pos,neut,neut,neut
huhu heart lenis favorite cousin husband well tito yes congratulated haha one older cousin close bbm huhu ga leni lutang2 siya poga disappointed surprised im trying convert another cousin mine,neut,pos,neut,neut,neut
way around im used reason mass side poisoned even nothing done way heard recent bbm supporter committed suicide due bullying leni supporter see hypocrite usual,neg,neg,neg,neut,neut
vp leni pls win 10,neut,pos,neut,neut,neut
never vote leni u,neut,neut,neut,neut,neut
wife said pacquiao pro came pink election monday next day leni president think ah yes win thats brown win annoyed annoyed thats imitated also good angry,neut,pos,neut,pos,pos
someone fixture last night area leni kiko tarp almost every post still accross road others quiet leni kiko also knocked gate door,neut,neut,neut,neut,neut
juicekolorddifferent vp leni press freedom spoiled brat win hope dont cheatvp leni win,neut,pos,neut,neut,neut
people dont sleep leni kiko,neut,neut,neut,neut,neut
sleep leni,neut,neut,neut,neut,neut
sleepless lenikiko,neut,neut,neut,neut,neut
,neut,neut,neut,neut,neut
un almost half go mother leni ndo registered tpos kay bbm 90 vote solid haha,neut,pos,neut,neut,neut
see effort sincerity lenis volunteer led campaign unprecedented didnt even care politician support want follow pur led fought good fight,pos,neg,neut,neg,neut
happy mother day leni robredo,pos,pos,pos,pos,pos
lenis supporter poor,neg,neg,neut,neut,neut
line start afams leni,neut,neut,neut,neut,neut
sure leni nb bet wont win 100k pm,neut,neg,neut,neut,neut
thank much catriona gray cool beauty brain personified god bless lenikiko way,pos,pos,pos,pos,pos
president leni amp,neut,neut,neut,neut,neut
let go leni please charot right behavior yarn,neut,pos,neut,neut,neut
desired order government peaceful future let go lenikiko tomorrow,neut,pos,neut,neut,neut
said kakampink said 1 million dense still hole haha hello 30 hectare much compared lenis area small road 4 hectare say 750k,neut,pos,neut,neut,neut
thick playerssir arnel ignacio leni kiko,neut,neut,neut,neut,neut
stop crack useless vp leni elistist watch learn,neg,neg,neut,neut,neut
happy mother day vp leni next president philippine thank much standing fighting u future child next generation stay alive,pos,pos,pos,pos,pos
leni kiko tomorrow,neut,neut,neut,neut,neut
4 x 40 1600 island philippine 1700me kcstupid kc c leni,neut,neut,neut,neut,neut
heyy happy neighbor suddenly leni felt tarp church havent started talking yet say leni deep inside im happy,pos,pos,neut,neut,neut
fucking true 20,neg,pos,neut,neut,neut
im happy found another ally family lola leni,pos,pos,pos,neut,neut
thank rajiv,neut,pos,pos,pos,pos
yes lenikiko,neut,pos,neut,neut,neut
lord give one lead make win mam leni sir kiko,neut,pos,neut,neut,neut
busy shift earlier omg great watching clip series video lenikiko wow lord hope pink troop win monday,pos,pos,pos,neut,neut
voice today yesterday shouting leni,neut,neut,neut,neut,neut
asked receive 1k attending mda coworker said receives people attend lenis rally need proof paid stand future people,neut,neut,neut,neut,neut
ikrr,neut,neut,neut,neut,neut
sayoha pa buntag oy papa seg patukar leni,neut,neut,neut,neut,neut
someone asked im voting told leni robredo literally said giatay man diay ka war freak sister gurl hahahahahaha,neut,neg,neut,neut,neut
cried honestly everyone volunteer pure donation pure giving hard stand handle make sure sit vp leni sen kiko entire tropang angat,neut,pos,neut,neut,neut
happy mother day vp leni,pos,pos,pos,pos,pos
happy mother day mam leni tomorrow give gift win lose love whole family,pos,pos,pos,pos,pos
happy mother day mom thank best mom grandmother taught concept giving titas constantly reminding keep faith lord madam leni robredo giving much hope better tomorrow,pos,pos,pos,pos,pos
happy mother day vp leni god bless family always way,pos,pos,pos,pos,pos
hello engenes concludes lenikiko campaign journey doesnt end let use voice kpopstans help seek passion standing truth choosing protect nation filipino people thank everyone,pos,pos,pos,neut,neut
well done showing love,pos,pos,pos,neut,neut
stressful coming back far ahdjflsksh 12 hour travel gyud waah gyud dae leni dong kiko let win tomorrow plss,neut,pos,neut,neut,neut
early morning debated family fight president leni robredo,neut,neg,pos,neut,neut
happy mother day mom dad sister brother aunt uncle grandma grandpa madam leni,pos,pos,pos,pos,pos
good mother also lenikiko happy mother day,pos,pos,pos,pos,pos
love vp leni thank bringing hope,pos,pos,pos,pos,pos
everybody know created acct support lenikiko since could support using real acct national government employee honor fight,neut,pos,neut,neut,neut
cyberbullying still bullying thats wrong never right dont associate politics vp leni nothing bullying took place mark bully,neg,neg,neg,neut,neut
lost hope philippine past 6 year also left country leni kiko win heartbreaking give hope know something good look forward,neut,pos,neut,neut,neut
side note hope leni fucking win rather pls,neg,pos,neut,neut,neut
ran away caught parent leni lt,neut,neut,pos,neut,neut
prankster leni,neg,neut,neut,neut,neut
im literally cry right nowlenikiko win,neut,pos,neut,neut,neut
sure aleng leni lugaw also buying vote payment even expensive,neut,pos,neut,neut,neut
good morning namam taxi driver dd ar marcos apologist hahahaha said philippine going crazy leni many supporter say aquino hahaha,pos,pos,neut,pos,neut
hope next time return makati professional leni kiko charge country,neut,pos,neut,neut,neut
leni win really cry bbm tangina moo,neut,pos,neut,neut,neut
liar said plan run president lot anger towards liar,neg,neg,neut,neut,neut
stupid leni wont voted shes educated like idiot,neg,neg,neut,neg,neut
,neut,neut,neut,neut,neut
priest church earlier straight told ppl vote leni started homily dont vote thief gagee yan fatherr love naa respect bravery,neut,pos,neut,neut,neut
think leni hard time writing concession speech,neut,neg,neut,neut,neut
allowed cry leni kiko,neut,neg,neut,neut,neut
,neut,neut,neut,neut,neut
grandmother still fought solid bbm hahahaha get leni,pos,neg,neut,neut,neut
lenikiko president vice president philippine 2022 manifesting claiming leave everything god,neut,pos,neut,neut,neut
get dark lenis number increase still like 2016,neut,pos,neut,neut,neut
desprezvel pq prefere ver brasil na merda que votar lula novamente segundo turno,neut,neut,neut,neut,neut
never fanatic charge loyalty always good country blessed sunday happy mother day mama vp leni toughest job earth,pos,pos,pos,pos,pos
happy mother day mom except mama leni,pos,pos,pos,pos,pos
thank everyone stood know filipino still hope leni kiko troop dont win im sure next time stand filipino still worth fighting,pos,neg,neut,neut,neut
lord let leni go please,neut,pos,neut,neut,neut
way leni economy leni grow pinas going lose dhl alm nya pgcompute 4 x 40 1600 want fight president take revenge marcosso bother serve4 x 40 1600 4 x 40 1600 4 x 40 1600,neut,neg,neut,neut,neut
feeling going rally look fun im leni kikos poster taken,pos,pos,neut,neut,neut
potaena cousin also stood went vp lenis rally funny many u family believe loyal government uplift life,pos,pos,neut,neut,neut
relax leni win please hug friend let realize made best choice country,pos,pos,neut,neut,neut
chika chika mama connection politics incumbent congresswoman bbm supporter biased towards u strong candidate ticket leni supporter dasurv kfnsksnsj,neut,pos,neut,neut,neut
leche chat youre way home didnt get shirt trixie got anxious leni kiko,neut,neg,neut,neut,neut
know many lenikiko voter able join,neut,pos,neut,neut,neut
come papa im going go mom fun hahahh,pos,pos,neut,neut,neut
dont like leni supporter running besides feeling perfect point marcos crime theyre trying revise history silent allow get away marcos troll harassing leni 6 year,neg,neg,neut,neut,neut
option 1 like aquinos led 2 like marcos led leni bbm dont know anything history socmed source mother read book,neut,pos,neut,neut,neut
hahahahaha almost feverish leni huhuhuhu,neut,neut,neut,neut,neut
yes there clip rally search fb youtube type leni dont let referring smni reporter said dont blush,neut,pos,neut,neut,neut
may 8 mother day may 9 lenis day,neut,neut,pos,pos,pos
kolhoun see leni ijo aabi sw amii,neut,neut,neut,neut,neut
ig story leni e maltman famous ig lbm supporter among follower,neut,pos,neut,neut,neut
yes fact rich friend marcos crony sister boyfriend one biggest marcos apologist leni never forget video kadiri jowa ni jasmine good thing anne took stand became brave,pos,pos,neut,pos,neut
fast malobat kakaml leni,neut,neut,neut,neut,neut
besides one neighbor assist election others know leni said invited cheat local candidate,neut,neg,neut,neut,neut
atheist prayed lenikiko,neut,neut,neut,neut,neut
papa solid bbm im still vp leni son bbm leni,neut,pos,neut,neut,neut
nice ride free think leni win mrt go back normal,pos,pos,neut,neut,neut
elevator going unit met 2 chilltop boy bbm girl even vp leni doesnt run wont vote even dont vote he one even sister drunk know vote,neut,neg,neut,neut,neut
let make choice proud tell child childrens child choose good choose life choose lenikiko,pos,pos,neut,pos,neut
hahahahaha mother leni great artist,pos,pos,pos,neut,neut
gosh sister dick hahaha watched signed l heheh said time government honest everyone life skl,neut,pos,neut,neut,neut
bad someone make stock market expects rise leni poster,neut,neg,neg,neg,neut
election making emotional heard one mom friend saying cry father look marcos loyalist teared lenis speech today long really let win huhu,neut,pos,neut,neut,neut
enough reason reject family leni porridge deeper case drawn pink one course parent side thief done nothing platform thats even embarrassing bbm even shocking,neg,neg,neg,neut,neut
people tarlac got dragged bus hahahahahahah leni paden,neut,neg,pos,neut,neut
gma news parent company pro leni kiko,neut,neut,neut,neut,neut
hahahahaha good judge people hahaha pride high thought pinklawans educated word educated respect angry vp leni supporter insult building worship,neut,pos,neut,neut,neut
super excited vote tomorrow proud say first vote leni kiko future female im claiming tip first time voter god bless philippine,pos,pos,pos,pos,neut
happy mother dayvp leni thank u ur sacrifice philmaam tin sir sherwin thank u support vp leni sir sherwin happy birthday po god bless u long live philippine,pos,pos,pos,pos,pos
banda darmozjadw leni mierdzcych mascara,neut,neut,neut,neut,neut
president leni cutiee,pos,neut,neut,neut,neut
oh,neut,neut,neut,neut,neut
people edsa side pioneer delivered shaw side leni,neut,neut,neut,neut,neut
haha mama leni contagious,neut,pos,neut,neut,neut
one many reason leni lose election,neg,neg,neut,neut,neut
iskos one vlogger right 8 month enough negate issue thrown vp leni dd bbm vloggers good demolition job leni sad,neut,neg,neut,neut,neut
cest qui mettra fin au racisme,neut,neut,neut,neut,neut
youre deviating topic hahaha please look receipt vp lenis program see change topic haruuy lavaad,neut,pos,neut,neut,neut
mother left morning mda brought gv last night veeps dead mother lenis influence great hahahah,neut,neg,pos,pos,pos
cried much morning video watched vp leni respect others vote im leni,neut,pos,neut,neut,neut
disappointing friend convinced last three day switch leni ping youre francine ping,neg,pos,pos,neut,neut
thought iskonians campaign cool said theyre moving end still hit vp leni even though shes paying attention maybe he hotheaded he ignored,neut,neut,neg,neg,neut
need vp leni spend lot money firework help people need volunteer contribute rally cant even reach 100k tweet twitter youre lot troll,neg,pos,neut,neut,neut
lenis child,neut,neut,neut,neut,neut
hahahah know lenis supporter ruining image also way act way lied obvious vote choice dont dictate others,neg,neg,neut,neut,neut
leni love point gotta call cop bruv,neut,pos,pos,pos,neut
sleep leni,neut,neut,neut,neut,neut
right dont miss lenis name circle circle next bb em sarah name,neut,pos,pos,neg,neut
ayo kita tunggu plot twistnya akan seperti apa,neut,neut,neut,neut,neut
thought one brother leni kiko,neut,neut,neut,neut,neut
happy mother day single mom like mama vp leni sen risa salute,pos,pos,pos,pos,pos
turn 8 people allowed campaign removed lenikiko frame hashhsaasashss,neut,neut,neg,neut,neut
,neut,neut,neut,neut,neut
leni one afam,neut,neut,neut,neut,neut
santa leni mother,neut,neut,pos,pos,pos
dont even know vp leni sen personally kiko feel love people intelligent free corruption decent rude murderer,neg,pos,neut,neut,neut
cry early morning seeing highlight vp lenis campaign,neut,neg,pos,neut,neut
difference duterte wasnt target massive disinformation could people searching lenis edited misleading video hope wrong,neg,neg,neut,neut,neut
didnt eat dinner last night leni stomach hungry heart full fight,neg,neg,pos,neut,neut
yes ty mwah,pos,pos,neut,neut,neut
sister morning called nickname see bbm rally 1m shene ell catch 7k filled yet im decided support leni,neut,pos,neut,neut,neut
good morning ulet leni kiko,neut,pos,pos,pos,pos
went tv listened paquirrn saying independent age 18 depend mother que se fue de cantora porque le gustaba ser un mantenido son parasite,neut,neut,neut,neut,neut
hi presidential candidate leni vp candidate kiko theyre noncorrupt politician running election theyre running really really shitty people,neg,neg,neut,neut,neut
leni kiko win crowd number twitter trend google trend view rally leni,neut,pos,neut,neut,neut
walk beginning guadalupe 1 hour hunger pain foot body prepared leni fight,neut,neg,pos,neut,neut
greatee want win leni ive experienced poor dont want sleep thinking much generation hard filipino maybe made right decision courage go another country praying god,neut,pos,neut,neut,neut
pay ke aing,neut,neg,neut,neut,neut
nothing heart except wanda,neut,neut,neut,neut,neut
vote correctly invalidated look happened recounted vp lenis vote 2016 vote longer counted thats 16k careful careful vote counted,neut,pos,neut,neut,neut
turn maam leni character speech candidate last night said last day campaign last whistle destruction hey,neut,neg,pos,pos,pos
prayed lenikiko senatorial candidate win coming monday happy sunday everyone,pos,pos,pos,pos,neut
sick nervous leni,neg,neg,neut,neut,neut
among lenis child tried snatch valedictorian real valedictorian,neut,neut,neut,neut,neut
shar proj ab shes supporting leni good governance station sadly yes different opinion choosing president based opinion choose right one try consider side listened bbyms side really,neut,pos,neut,neut,neut
thats logic left bopols teacher air making fun lutang better vote leni,neut,pos,neut,neut,neut
let leni,neut,neut,neut,neut,neut
mam leni hope sinking motherland fight continues colorr,neut,pos,pos,neut,neut
right hashtag kakampink leni pls even hashtag bbm eye tired every time open social medium see first,neut,neg,neut,neut,neut
yes win campaign unforgettable tearful vote safely tomorrow every vote leni special,pos,pos,neut,neut,neut
tsk tsk ok lenis problem,neut,neg,neut,neut,neut
sitting vice president fine record public service taint corruption paper leni robredo dream candidate word bbc news,neut,pos,neut,neut,neut
duty drive 2hrs leni,neut,neut,neut,neut,neut
throwback leni speaker g6 graduation,neut,neut,neut,neut,neut
leni voted bam aquino one dictated leni lazy thinking time one knew good number one bullying poor poor,neg,neg,neut,neut,neut
hahhaahah edited yesterday many peopleand transportation paymentwe still spend fareits enough xc accept mam lenis supporter real spend really,neut,pos,neut,neut,neut
aunt always say ping voted shineshare s gc lbm amp,neut,neut,neut,neut,neut
lenikiko leadership malacaan truly palace people looting take place 6 year,neg,pos,neut,neut,neut
thank said vp leni mind,neut,pos,neut,neut,neut
assurance really makaleni mean really makaleni attend rally depends pencil shshadan monday hater said possibility leni wont win thank,neut,neg,neut,neut,neut
leni robredo president cutie,pos,pos,pos,pos,pos
pls im excited election hahahaha leni win pls pls,pos,pos,neut,neut,neut
go go go mam leni future filipino,neut,neut,neut,neut,neut
bbm spoke started running away got paid payment really different heard kakapinks joined payment vote leni,neut,neut,neut,neut,neut
say issue actually pretty cool shut move dont trust yellow people surround leni,pos,pos,neut,neut,neut
bbm leni pink red green wrong thought patient health welcome infection sepsis,neg,neut,neut,neut,neut
leni loses would hated ping isko,neg,neg,neut,neut,neut
youre hateful thief liar bbm chill anyway lost leni,neg,neg,neg,neut,neut
dont fooled drawing enough lenis name punched pierce pen sure smarter smartmatic remember shade 7 pierce 10 vp,neut,pos,neut,neut,neut
survey predict winner 2400 respondent cant predict winner thus dont make reason candidate win maybe recount say cheated fact receive silent voter leni,neg,pos,neut,neut,neut
leni,neut,neut,neut,neut,neut
yes leni mother isko hahahahaha yes,pos,pos,neut,neut,neut
cry leni,neut,neg,neut,neut,neut
good morning grab driver said leni tayo maam leni tayo saw tarp gate,neut,pos,neut,pos,neut
also want post raised strong woman like leni since mother day today mother bbm,neut,pos,pos,neg,neut
almost couldnt go home leni,neg,neut,neut,neut,neut
didnt leni go davao know one come rally inday sara mayor davao,neut,neut,neut,neut,neut
thank anne curtis showing full support vp leni amp,pos,pos,neut,neut,neut
yes dont shoot leni 6 year old food porridge mother float,neg,pos,neut,neut,neut
super smart babbling hahshshahahahahaha said even win streak ph sa miss u broken long vp leni win,pos,pos,neut,neut,neut
artist attended vp leni last night star struck miss u catriona gray anne curtis beautiful,pos,pos,pos,neut,neut
leni igdis poster albay cutie korean look hahaha good morning,pos,pos,pos,pos,pos
leni porridge,neut,neut,neut,neut,neut
wow maam leni marcos jr thats good man,pos,pos,pos,pos,pos
happy mother day mom aunt nora mom leni,pos,pos,pos,pos,pos
there nothing wrong preferred candidate thats right many friend voting leni see posting like post like focus voting vp leni like db,neut,pos,neut,neut,neut
